Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
IIT-Library,frames,book_pdf_frame,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: container
IIT-Library,frames,main_frame,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: container
IIT-Library,sub_class,Download,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: progressbar; label1; downloaded; font; layout; fileName; fileUrl; frame; jlabel
IIT-Library,sub_class,Download,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Slides_details; Slides; Semester_details; Pdf_books; Home_frame; search_item; Offlinepdf; PdfViewer; Teacher_info; Download_Without_saving; File_Basic; Download
IIT-Library,sub_class,Download.Task_StringUpdate,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: jlabel
IIT-Library,sub_class,Download.Task_StringUpdate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IIT-Library,sub_class,Download_Without_saving,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: progressbar; label1; downloaded; font; layout; fileName; fileUrl; frame; jlabel
IIT-Library,sub_class,Download_Without_saving.Task_StringUpdate,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: jlabel
IIT-Library,sub_class,Download_Without_saving.Task_StringUpdate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IIT-Library,sub_class,File_Basic,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: x; Item; price; filepath
IIT-Library,sub_class,Home_frame,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: main_panel; toppanel; leftpanel; search; teacherinfo; syllabus; offlinepdf; teacherlabel; syllabuslabel; offlinepdflabel; elibrary; searcharea; teacherImage; syllabusImage; offlinepdfImage; font; layout; Semester; item; link; length
IIT-Library,sub_class,Offlinepdf,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: c; x; pdfpath; pdfname; font; fl; book; back
IIT-Library,sub_class,PdfViewer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: c; screenSize; frame_height; frame_width; totalpage; pagenumber; pagenumber2; viewtypecounter; zoomcounter; title_panel; pdf_panel; back; one_view; two_view; next_page; previous_page; zoom_in; zoom_out; label1; label2; pdflabel; pdflabel2; textarea; bim; pdfDocument
IIT-Library,sub_class,PdfViewer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
IIT-Library,sub_class,Pdf_books,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: main_panel; font; layout; back; cprogramming; discrete; it_and_society; OOP1; ComputerOrganization; AlgorithmAnalysis; NumericalAnalysis; OOP2; ComputerNetworks; TheoryofComputation; pdffilepath; dirName; bookname
IIT-Library,sub_class,search_item,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: main_panel; font; layout; view; back; label; box1; pdffilepath; dirName; bookname; item; link
IIT-Library,sub_class,Semester_details,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: main_panel; toppanel; panel1; update; pdf; slide; classroutine; examroutine; back; title; pdflabel; slidelabel; classroutinelabel; examroutinelabel; pdfImage; slideImage; classroutineImage; examroutineImage; font; layout; semesternumber; usertype
IIT-Library,sub_class,Slides,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: main_panel; bookname; font; layout; back; cprogramming; discrete; it_and_society; DataStructure; OOP1; ComputerOrganization; AlgorithmAnalysis; NumericalAnalysis; OOP2; ComputerNetworks; TheoryofComputation
IIT-Library,sub_class,Slides_details,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: main_panel; bookname; font; layout; c_array; c_introduction; c_looping; c_expressions; Dis_chapter1; Dis_chapter2; Dis_chapter3; Dis_chapter8; Dis_chapter9; co_intro; co_top_level_view; co_cache_memory; co_internal_memory; co_input_output; co_instruction_sets; co_instruction_sets_addressing; oop1_intro; oop1_data_types; oop1_control_statement; oop1_array; oop1_Class; oop1_modifire; oop1_overloading_inheriting; oop1_polymorphism_abstraction; oop1_uml; oop1_exception_handle; oop1_association; back; oop2_intro; oop2_swing; oop2_swing_event; oop2_thread; oop2_generics; cn_chapter1; cn_chapter2; cn_network_layer; cn_ip_address; cn_application_layer; cn_transport_layer; cn_network_layer2; cn_routing; slide_subject
IIT-Library,sub_class,Slides_details,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 47 public methods
IIT-Library,sub_class,View,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: progressbar; label1; downloaded; font; layout; fileName; fileUrl; frame; jlabel
IIT-Library,sub_class,View.Task_StringUpdate,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: jlabel
IIT-Library,sub_class,View.Task_StringUpdate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IIT-Library,sub_class,Welcome_frame,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: loginbutton; teacherlogin; label; main_panel; font; username; password; scanner; usertype
